Name,Ball Control,Dribbling,Marking,Slide Tackle,Stand Tackle,Aggression,Reactions,Att. Position,Interceptions,Vision,Composure,Crossing,Short Pass,Long Pass,Acceleration,Stamina,Strength,Balance,Sprint Speed,Agility,Jumping,Heading,Shot Power,Finishing,Long Shots,Curve,FK Acc.,Penalties,Volleys,Overall Rating
Sergio Araujo,77,72,45,27,22,48,75,75,20,62,66,55,67,61,74,74,69,71,74,75,65,65,80,77,75,81,59,69,78,74
Guido Burgstaller,70,70,35,21,39,85,79,78,34,67,77,69,74,58,54,77,80,62,63,62,72,76,82,75,70,62,42,66,73,74
Danny Welbeck,76,73,43,33,38,75,71,77,32,70,75,69,66,64,70,50,70,61,75,70,79,78,76,75,63,61,62,68,68,74
Nikola Kalinić,75,71,44,28,32,68,75,80,42,66,78,60,74,48,55,55,73,55,67,68,65,77,77,78,60,64,50,70,74,74
Nils Petersen,70,62,46,21,29,60,81,80,39,60,78,58,64,49,53,77,78,57,53,55,61,78,78,80,67,57,45,77,83,74
Jay Rodriguez,74,73,48,21,30,45,75,75,44,70,77,68,69,66,65,68,73,64,69,69,78,76,78,75,76,69,39,78,76,74
José Sand,74,66,45,25,21,73,81,83,33,69,85,53,69,46,45,37,79,65,49,35,70,77,76,80,72,63,65,85,76,74
José Manuel López,78,66,31,39,37,64,66,75,24,73,65,44,67,53,71,63,73,64,72,70,70,76,68,77,67,55,46,74,71,73
Bamba Dieng,74,67,24,27,31,42,69,72,32,64,69,62,63,47,79,61,58,72,84,69,74,73,85,72,68,54,55,73,74,73
Ercan Kara,66,61,22,21,27,72,70,71,17,56,70,32,63,35,69,84,92,33,79,61,66,76,80,74,73,63,62,69,69,73
Fer Niño,70,67,30,28,31,52,74,76,31,55,57,52,73,53,68,70,74,61,67,68,73,74,74,78,70,54,51,65,68,73
Fran Navarro,73,69,38,33,37,73,76,75,37,48,74,41,68,45,64,81,73,64,68,68,84,72,79,75,64,43,35,72,51,73
Sekou Koita,73,75,30,27,37,73,72,73,32,58,71,63,67,52,92,68,70,89,91,90,87,59,75,75,74,70,58,71,73,73
Petar Musa,73,72,29,31,32,73,74,73,31,62,69,51,60,57,83,82,79,51,83,65,75,72,73,74,67,61,62,64,72,73
Léandre Tawamba,73,68,26,14,15,55,68,74,16,66,76,35,66,45,59,80,91,34,69,63,80,75,73,77,66,50,35,71,70,73
Enric Gallego,73,68,22,18,17,60,70,77,20,65,74,43,65,45,62,55,82,55,52,48,67,79,77,79,70,50,50,73,62,73
Loïs Openda,70,71,29,15,19,69,69,74,16,67,70,67,70,52,94,76,75,78,93,78,92,64,73,74,64,51,43,75,63,73
Dani Gómez,74,74,38,35,32,38,68,75,31,64,72,49,68,57,75,68,71,65,79,71,64,62,79,76,68,56,49,66,62,73
Ignatius Ganago,73,72,39,14,17,48,67,72,45,48,70,62,66,54,81,69,76,79,83,78,68,65,79,74,69,59,56,66,60,73
Georgios Giakoumakis,70,62,27,19,24,75,74,78,17,52,70,36,62,35,66,69,82,64,73,64,81,77,78,75,62,57,45,73,75,73
José Juan Macías,73,72,21,20,19,40,76,78,19,54,65,52,72,52,68,63,70,69,70,64,59,74,72,75,69,50,50,75,62,73
Abel Ruiz,75,74,45,20,38,46,72,75,24,63,69,36,73,63,73,72,73,64,75,70,70,64,75,75,73,58,56,64,71,73
Ermedin Demirović,72,71,48,24,29,76,74,77,23,65,66,59,68,48,67,67,77,66,68,65,71,68,80,76,66,65,40,63,67,73
Patrick Cutrone,73,70,36,18,20,62,72,78,14,56,72,48,64,44,69,66,72,74,74,68,74,73,72,76,60,66,42,68,70,73
Nicolás Ibáñez,72,68,45,21,22,64,69,75,18,58,69,39,66,58,74,73,74,68,71,72,87,77,74,75,64,58,41,66,66,73
Fedor Chalov,76,72,23,23,26,36,77,76,44,75,81,64,74,61,76,74,67,72,75,75,62,67,72,72,66,61,56,71,73,73
Dante Vanzeir,73,70,39,31,24,66,68,74,38,73,72,68,71,58,88,79,70,78,82,76,85,66,75,75,71,71,59,69,74,73
Cristian Tarragona,68,68,43,35,39,85,75,76,37,57,68,39,62,49,81,83,75,84,82,80,80,70,75,74,66,57,51,71,55,73
Landry Dimata,70,71,38,30,38,76,67,75,30,67,71,63,71,60,78,73,83,67,77,72,76,74,79,71,63,45,46,75,70,73
Nuno Lisareda,72,74,27,18,23,41,72,76,29,72,77,51,67,47,80,68,62,66,77,78,69,68,77,75,68,62,45,75,75,73
Dagoberto Esteiro,67,68,19,19,23,36,78,76,18,50,60,38,69,42,64,53,70,60,64,60,62,73,77,76,82,42,37,62,69,73
Rodrigo Pinho,76,75,18,21,24,36,76,75,19,67,68,49,65,50,67,62,70,59,64,65,70,68,76,79,74,67,56,77,67,73
Reynolds II Estupiñán,70,69,23,20,21,80,74,75,18,42,67,46,58,47,71,69,79,70,71,65,90,82,77,70,69,58,60,64,65,73
Fábio Abreu,71,68,29,20,17,55,69,75,14,58,65,37,65,46,73,81,80,66,77,69,80,77,77,73,68,64,39,70,72,73
Vincent Janssen,70,67,45,37,37,83,75,77,19,75,74,35,72,66,75,72,91,63,75,69,71,72,80,69,66,54,39,81,63,73
Gabriel Peter Buch,74,73,42,24,49,70,69,76,32,66,74,48,59,62,67,74,87,67,73,68,78,75,77,74,58,50,44,64,63,73
Kevin Lasagna,73,72,26,18,20,40,76,77,30,58,74,60,66,50,85,66,69,72,89,78,75,68,82,66,70,66,42,66,72,73
Steve Mounié,73,68,39,39,41,77,69,76,42,64,70,59,67,59,61,68,84,52,66,58,92,84,76,73,68,52,54,66,67,73
Gustavo,68,67,12,24,21,77,66,76,19,50,68,41,56,44,74,62,85,56,80,60,80,76,74,79,60,34,43,68,73,73
Joel Pohjanpalo,71,69,24,18,21,63,74,76,18,52,68,54,69,45,64,64,76,66,63,67,70,75,78,76,71,65,45,60,75,73
Kieffer Moore,72,68,39,44,47,73,70,73,42,54,68,58,58,55,75,73,90,50,79,52,73,84,76,72,58,62,45,67,68,73
Henrique Dourado,66,63,30,20,28,82,70,79,30,68,74,57,70,58,66,80,80,63,70,75,82,81,74,76,69,52,53,85,71,73
Kasper Junker,72,69,31,23,28,58,70,77,33,67,72,44,66,54,82,75,77,54,84,72,84,66,74,77,65,51,59,69,67,73
Mikael Uhre,70,68,37,28,32,64,68,77,17,62,67,41,57,41,87,77,83,66,91,75,72,65,75,76,65,52,32,62,62,73
Gianluca Lapadula,74,72,21,18,15,81,74,78,19,60,70,50,67,34,73,63,61,78,74,78,77,72,74,77,61,68,69,71,75,73
Gianluca Lapadula,74,72,21,18,15,81,74,78,19,60,70,50,67,34,73,63,61,78,74,78,77,72,74,77,61,68,69,71,75,73
Lucas João,74,75,20,20,23,52,66,70,22,74,65,47,63,59,63,59,86,43,79,70,54,72,81,73,69,52,39,58,66,73
Ahmed Hassan,71,69,23,25,23,77,70,78,39,65,76,30,69,53,55,66,85,49,53,71,63,82,79,75,65,69,44,74,72,73
Sebastian Andersson,73,69,21,24,30,72,75,75,25,62,70,32,71,39,51,70,81,55,55,54,72,80,74,75,66,39,42,65,73,73
Philipp Hofmann,69,62,26,21,38,79,72,78,23,60,72,31,66,43,46,60,92,34,62,46,52,79,83,76,63,46,31,62,66,73
Stéphane Bahoken,72,71,12,15,23,54,69,76,23,55,74,61,66,39,75,68,81,71,76,73,71,73,76,73,71,47,53,61,59,73
Veton Berisha,71,69,34,33,38,81,67,75,44,70,71,60,68,65,84,90,84,85,83,75,90,66,76,74,67,64,44,74,64,73
Emmanuel Gigliotti,75,65,44,24,35,71,79,79,35,68,70,51,66,46,53,74,87,53,46,61,75,78,80,74,70,57,51,63,73,73
Sergio León,74,73,41,21,33,65,71,75,35,70,75,61,71,57,78,70,69,72,75,77,74,71,77,73,71,74,64,72,72,73
Leandro Damião,74,73,24,29,39,71,67,76,27,68,67,44,70,55,43,63,92,33,55,48,65,79,76,75,72,76,56,78,81,73
Alfreð Finnbogason,74,72,30,34,32,63,78,78,20,69,83,37,70,67,55,42,75,65,55,64,69,68,76,76,75,56,51,85,78,73
Villalibre,73,65,41,30,32,67,64,71,31,52,74,46,68,45,72,71,90,64,75,71,78,74,81,74,57,60,36,73,70,73
Cenk Tosun,73,71,33,15,34,75,73,75,31,61,74,64,69,60,67,65,73,66,65,71,80,77,78,75,72,72,73,85,71,73
Nélson Oliveira,74,72,27,29,40,75,70,77,36,65,72,64,70,59,64,69,78,67,74,66,66,72,78,71,71,65,47,80,74,73
Bruno Fornaroli,76,73,29,37,40,70,71,73,36,67,75,56,68,54,73,77,74,84,72,79,81,70,75,75,71,73,70,72,67,73
Abel Hernández,69,70,26,22,29,59,74,77,24,69,74,50,67,54,80,67,73,68,79,78,70,68,73,75,71,64,60,76,72,73
Mame Diouf,71,66,44,55,58,78,70,77,57,66,66,63,67,44,69,80,81,60,77,69,91,79,75,74,61,59,36,75,70,73
Rubén Castro,70,71,36,14,12,54,75,78,37,74,68,60,62,47,72,62,61,81,69,86,85,65,78,78,73,70,75,78,69,73
Jonathan Bauman,68,63,26,22,27,43,70,75,25,54,65,42,65,45,71,70,65,68,73,70,73,75,70,78,70,49,50,69,73,72
Agustín Uremovic,73,64,30,30,33,50,70,73,31,61,68,48,69,59,72,71,74,74,69,70,80,75,73,73,69,68,54,71,78,72
Terem Moffi,70,71,18,18,23,57,69,71,15,47,67,49,64,41,69,67,86,56,78,59,77,73,77,72,68,59,55,65,68,72
Jonathan Dos Santos,72,65,39,19,20,69,74,75,34,63,74,54,59,48,71,73,79,67,73,69,80,72,74,73,69,61,52,60,54,72
Federico Viñas,73,64,14,26,22,70,69,75,20,58,73,34,65,50,73,73,79,77,75,68,78,75,78,71,69,47,51,69,67,72
Brian Brobbey,72,64,28,24,23,69,67,74,26,52,74,35,69,53,77,66,89,84,79,59,89,69,72,74,63,49,44,66,58,72
Matěj Pulkrab,68,62,23,24,28,84,71,79,30,59,55,51,62,39,66,61,85,52,68,62,73,78,69,75,61,47,49,60,73,72
Sebastián Ferreira,71,76,27,25,27,50,72,72,30,60,61,41,66,52,72,65,62,57,70,79,78,68,76,77,65,57,65,73,58,72
Tomáš Chorý,69,65,27,31,26,86,74,78,22,59,66,44,68,55,43,66,93,32,51,38,52,82,72,73,59,41,44,69,71,72
Juan Manuel García,67,65,31,27,32,71,72,73,36,48,61,38,58,47,75,69,82,62,77,68,85,78,76,74,64,43,37,67,69,72
Umut Bozok,73,71,35,19,20,59,70,76,20,65,69,58,69,47,78,73,68,73,78,81,79,66,74,75,65,65,54,74,70,72
Umut Bozok,73,71,35,19,20,59,70,76,20,65,69,58,69,47,78,73,68,73,78,81,79,66,74,75,65,65,54,74,70,72
Eddie Nketiah,73,74,22,15,19,52,74,74,19,58,68,43,66,45,85,66,59,72,82,80,73,66,72,73,60,54,38,68,69,72
Robert Glatzel,69,65,20,25,28,59,73,74,24,48,69,39,53,34,64,64,85,41,66,53,48,79,76,73,60,50,31,74,73,72
Irvin Cardona,74,73,27,20,17,28,69,75,24,72,67,56,73,58,74,70,71,63,73,70,80,63,78,73,68,68,58,69,77,72
Josh Maja,74,74,33,23,22,38,72,74,14,64,74,51,73,56,74,62,65,71,77,68,56,65,70,73,68,62,54,65,62,72
G. Mencia Suzuki,68,68,40,25,48,71,68,79,38,68,74,67,68,62,71,80,66,68,70,68,77,78,72,76,67,57,45,72,70,72
Iké Ugbo,67,69,21,19,30,61,74,73,26,63,68,57,66,38,75,65,75,63,80,70,74,68,68,77,55,43,38,73,71,72
Simon Banza,71,71,42,18,19,67,74,76,14,58,67,34,57,40,69,73,74,66,69,69,80,73,69,74,68,54,39,67,66,72
Leandro Vivenço,75,77,33,21,22,57,74,65,22,57,62,61,55,57,73,78,54,83,76,73,75,65,83,76,73,77,74,71,72,72
Jadson Vidigal,61,62,16,12,12,55,75,77,31,51,65,51,67,52,78,62,55,77,76,69,76,70,81,74,77,55,53,77,76,72
Hélton Celanova,73,63,13,10,18,52,67,74,20,65,74,42,71,53,53,59,88,56,53,68,68,76,86,73,72,63,52,76,77,72
Evandro Rochedo,74,70,15,45,44,58,77,75,37,54,73,57,64,55,59,39,80,54,52,63,59,64,79,75,74,63,72,72,73,72
Benjamin Tetteh,72,73,25,17,12,66,67,73,19,58,62,43,61,52,78,65,90,55,82,66,65,74,66,70,60,41,41,63,60,72
Sergi Guardiola,76,69,32,18,19,75,55,79,28,63,65,52,70,41,69,74,81,69,76,77,73,68,74,73,68,68,55,63,69,72
Elijah Adebayo,70,68,42,34,43,71,70,74,39,55,63,43,55,42,73,77,85,59,77,66,70,71,72,74,66,54,46,65,63,72
Stanislav Iljutcenko,70,63,21,22,44,62,63,73,38,50,70,50,64,39,72,81,86,61,75,66,80,70,75,78,62,34,36,60,66,72
Ramón Lee Kang In,70,69,29,22,32,76,65,75,19,65,75,53,65,63,69,54,92,72,70,68,69,75,81,70,63,52,48,67,73,72
Stefan Mugoša,74,65,16,19,22,52,67,77,18,60,75,32,59,45,61,76,87,53,66,64,71,75,71,78,69,48,53,75,70,72
Jonathan Torres,74,64,17,15,17,48,70,77,18,53,62,47,63,46,57,74,76,63,63,64,74,79,75,75,60,57,47,76,54,72
Uroš Salces,68,67,32,18,19,81,74,73,36,58,72,40,60,52,75,84,81,72,81,74,70,62,78,73,75,62,58,69,76,72
Antonio Zárraga Martínez,67,66,32,20,31,71,73,77,28,63,68,47,63,42,68,79,77,59,73,67,72,74,70,76,71,52,38,74,70,72
Nicolás Orsini,71,65,33,19,25,65,70,73,22,61,68,45,65,59,80,66,82,79,81,70,75,74,75,72,66,43,33,69,64,72
Gonzalo Mastriani,70,71,37,20,15,35,68,72,13,49,65,34,57,46,67,53,72,66,71,59,65,75,72,78,65,55,60,79,71,72
Mbwana Ally Samatta,66,69,32,23,28,65,71,73,18,63,70,67,71,45,84,72,72,69,84,76,88,75,77,69,66,65,57,69,72,72
Emilio Jin Gyu,62,64,26,34,29,75,69,75,23,66,67,64,63,54,72,82,72,61,72,59,88,83,75,77,67,49,32,86,69,72
Leandro Díaz,73,67,21,16,23,53,68,71,22,67,63,58,65,57,68,72,76,59,70,73,90,75,74,77,63,72,44,71,54,72
Angelo Rodríguez,75,68,42,20,18,76,73,76,26,59,72,45,69,48,70,68,85,60,72,63,57,69,68,71,61,32,55,66,57,72
Michael Rangel,69,66,40,23,25,54,72,75,31,68,67,49,62,50,58,68,79,53,54,59,84,75,76,77,72,60,62,82,75,72
Tim Kleindienst,66,65,29,22,29,61,68,77,28,55,67,50,60,50,58,81,86,45,75,51,70,75,77,75,70,54,48,68,69,72
Facundo Ferreyra,75,73,22,26,29,58,73,74,23,66,76,49,67,53,59,61,73,65,61,75,66,74,74,75,68,48,42,73,70,72
Chuba Akpom,73,69,20,19,29,56,70,72,29,57,70,48,59,46,81,75,80,66,84,78,83,69,75,73,66,42,37,62,66,72
Laurent Depoitre,70,62,45,38,46,76,69,79,32,71,72,61,70,51,46,75,91,36,59,32,53,79,76,73,62,46,29,64,64,72
Nicolás Castillo,72,68,40,19,30,78,70,72,37,58,70,49,65,59,66,53,73,63,62,60,85,72,81,75,68,67,74,83,67,72
Gyasi Froese,67,70,39,30,50,62,70,78,37,59,64,41,60,45,81,84,79,50,88,76,86,66,77,71,64,60,30,68,68,72
Fran Sol,71,63,37,19,25,51,73,75,28,62,69,37,65,49,67,70,76,65,69,68,86,78,79,71,72,61,62,72,69,72
Kacper Przybyłko,70,66,24,20,23,58,73,75,22,66,70,46,67,51,65,78,89,49,70,62,78,74,71,74,65,54,48,58,67,72
Leandro Fernández,69,73,36,20,42,68,74,73,47,73,77,73,69,71,79,69,70,69,76,80,65,69,80,71,70,67,70,74,66,72
Miler Bolaños,71,76,21,24,25,59,74,77,23,68,59,60,67,62,89,74,64,81,78,80,50,49,74,75,68,69,59,61,67,72
Isaac Kiese Thelin,68,65,45,20,25,78,74,76,32,72,73,46,69,59,48,78,88,51,67,63,69,77,71,74,63,48,35,72,66,72
Dwight Gayle,73,71,20,14,24,46,72,77,35,48,71,59,64,53,76,63,62,80,75,77,73,68,76,74,69,54,71,73,70,72
Fernando Uribe,74,70,10,23,27,55,70,72,34,56,70,53,58,49,69,70,72,53,73,69,80,74,73,78,64,68,64,74,66,72
Rafael Martins,71,66,22,15,27,74,69,72,20,58,70,59,63,45,70,52,71,74,71,69,73,66,87,72,70,62,63,71,75,72
Mauro Quiroga,72,64,32,17,15,70,73,76,26,45,72,23,65,58,69,71,91,59,65,63,81,83,72,68,68,59,65,75,69,72
Nicolai Jørgensen,71,70,35,22,30,62,74,73,31,72,75,64,70,63,65,67,85,60,66,62,70,72,75,71,71,68,62,68,68,72
Karim Ansarifard,69,72,30,39,42,66,73,75,48,58,75,59,68,57,73,73,74,69,75,72,74,70,75,72,73,68,56,75,72,72
Andre Gray,69,69,27,20,23,70,73,75,33,67,72,61,64,54,78,71,73,74,84,77,72,65,78,74,62,57,44,74,68,72
Alan Pulido,72,74,34,22,35,60,72,73,37,66,70,61,71,60,72,65,78,64,74,74,77,70,72,73,70,66,58,72,66,72
Milton Caraglio,71,70,21,18,19,69,66,75,25,58,73,64,65,55,49,63,91,34,34,62,81,86,76,76,68,55,47,78,70,72
Franco Di Santo,73,65,47,32,38,72,68,73,43,66,72,57,70,63,60,71,81,68,66,60,67,77,74,72,66,69,49,72,73,72
Federico Macheda,74,71,38,12,11,41,68,75,35,63,70,59,68,25,67,65,71,65,70,70,70,70,73,75,69,69,51,72,72,72
Massimo Coda,73,67,18,16,17,51,73,77,26,48,74,35,62,39,67,60,73,66,59,59,61,75,76,76,70,67,66,63,63,72
Troy Deeney,71,64,38,25,30,83,77,73,31,74,76,56,67,61,46,50,91,65,48,60,83,81,86,68,69,68,53,82,74,72
Mario Gavranović,74,68,25,24,39,56,65,75,43,61,72,50,66,56,65,63,69,83,60,78,85,79,74,76,66,56,55,76,73,72
Ola Kamara,70,64,39,19,20,69,72,73,34,63,70,54,67,48,70,78,79,69,76,73,84,69,74,73,68,61,52,74,75,72
Adrián Ramos,71,64,44,28,33,62,70,78,43,67,78,67,66,57,65,67,73,67,67,64,88,74,80,70,68,67,68,73,70,72
Gonzalo Bergessio,71,60,35,30,29,77,76,84,20,65,77,48,63,54,55,40,89,72,41,34,62,79,76,75,63,59,66,80,67,72
Billy Sharp,71,58,39,28,34,73,77,80,33,65,82,61,66,53,60,53,72,71,52,64,55,75,72,79,64,65,55,75,74,72
Llorente,72,65,34,15,25,70,73,80,25,70,78,44,72,53,32,34,86,29,35,32,52,88,77,72,63,57,44,70,75,72
Muhammet Demir,73,69,39,17,35,65,69,73,32,70,72,64,72,63,74,66,67,78,71,76,84,71,79,71,74,78,73,71,75,72
Angulo,69,68,38,20,29,47,74,75,40,61,71,57,64,54,74,71,76,68,75,76,75,71,68,75,64,69,68,76,62,72
Goran Pandev,82,79,23,35,40,52,72,75,28,71,70,69,74,69,55,32,54,71,47,61,60,60,75,79,76,80,73,73,78,72
Jimmy Briand,72,71,42,40,46,70,75,75,42,72,75,70,75,67,55,52,74,66,61,66,75,73,72,72,68,68,65,76,71,72
Yony G.,69,70,41,19,22,49,71,76,42,62,73,62,65,50,64,66,82,55,67,67,72,72,70,76,73,75,62,75,75,72
Daryl Dike,66,64,15,10,15,57,67,66,15,50,52,30,62,35,65,66,96,46,73,53,72,75,86,71,64,33,38,65,47,71
Leonardo,69,66,26,26,29,63,68,73,25,66,70,46,64,38,70,52,72,72,71,70,71,69,71,77,67,60,56,73,71,71
Samir Nurković,68,67,21,18,21,69,53,80,20,62,75,46,67,38,62,60,72,60,64,61,70,74,73,76,70,70,60,65,72,71
Lyndon Dykes,69,64,24,23,27,81,70,73,18,54,64,34,60,52,67,76,83,68,68,62,80,78,73,70,62,47,33,74,67,71
Vladyslav Supriaha,71,72,12,14,16,27,75,74,16,47,58,28,68,47,84,52,59,62,86,78,57,59,68,73,70,50,34,62,59,71
Kevin Behrens,64,64,27,19,20,74,71,73,24,54,64,44,58,44,70,82,82,67,76,66,91,79,77,73,61,53,33,67,61,71
Artem Besedin,65,70,38,31,37,31,74,79,40,49,68,33,67,32,75,65,75,57,69,55,63,75,66,69,65,37,27,57,62,71
Jesús Jiménez,70,73,38,33,34,37,70,74,32,66,70,62,69,60,81,80,75,77,80,82,73,57,71,74,61,62,54,69,61,71
Klauss,70,66,38,22,26,77,70,73,27,65,71,58,67,61,59,82,89,43,68,58,64,76,78,68,67,46,57,75,67,71
Douglas,71,70,38,15,17,62,66,72,15,41,70,41,66,31,65,61,73,55,70,55,84,73,78,71,66,56,47,74,73,71
Lukáš Juliš,68,67,21,27,29,67,67,75,22,60,70,63,63,52,81,62,71,56,83,72,73,70,71,73,62,55,48,56,65,71
Gustavo Blanco Leschuk,68,66,37,20,27,61,66,74,30,60,75,39,69,41,67,73,88,52,64,63,73,75,76,69,67,36,48,67,62,71
Guilherme Schettine,71,70,22,22,16,57,67,73,19,58,65,50,67,49,69,68,70,62,67,69,72,71,75,73,64,65,68,71,67,71
Sam Lammers,69,73,37,19,21,49,71,72,36,71,70,58,61,43,76,71,70,66,71,74,72,72,72,74,72,65,45,75,66,71
Rômulo Calsede,69,66,28,24,26,47,68,73,30,61,70,50,66,61,71,76,73,62,73,69,79,69,72,74,66,60,55,75,69,71
Hugo Cuypers,68,66,32,13,18,45,72,76,15,68,61,61,67,60,74,75,70,64,76,70,71,68,72,70,67,45,49,59,66,71
Janni Serra,68,61,35,33,38,60,65,76,23,60,55,46,62,35,49,71,89,37,71,47,60,74,78,72,63,43,28,60,70,71
Keinan Davis,75,71,44,23,38,80,67,69,44,58,65,47,63,40,68,65,93,68,74,72,72,74,70,71,60,49,40,60,64,71
Moussa Koné,74,72,33,21,27,57,71,74,31,55,69,53,69,46,91,70,66,78,91,82,76,60,59,72,67,56,49,70,61,71
Michael Santos,70,71,43,26,34,81,70,72,37,59,67,62,66,53,75,72,73,80,76,73,81,71,72,70,66,64,60,73,67,71
Rey Manaj,72,71,42,21,14,58,68,70,12,49,67,43,68,46,68,65,75,75,69,60,67,69,70,75,67,42,57,71,66,71
Paulão Junqueiras,67,63,25,21,19,58,66,76,22,57,70,34,62,38,35,45,92,37,41,48,33,76,85,77,70,59,46,71,71,71
Josué da Feira,77,68,28,20,23,49,77,69,22,50,71,60,65,61,68,66,60,73,66,66,74,69,73,75,76,65,58,67,76,71
Walter Silvieiro,67,63,15,28,38,59,63,75,51,61,66,60,65,51,73,66,59,61,71,64,75,70,76,77,72,68,61,76,74,71
Thiago Santana,70,70,20,13,20,68,65,71,19,63,69,40,64,60,62,75,84,56,72,67,78,69,78,75,65,64,49,72,71,71
Henk Veerman,65,58,30,21,18,69,72,73,29,47,69,29,65,42,67,68,91,32,79,34,71,73,74,73,59,29,40,62,55,71
Florin Andone,70,69,45,38,54,81,71,74,51,67,74,62,65,53,72,64,67,68,70,75,79,73,73,70,69,58,55,70,72,71
Javier Correa,73,70,28,24,22,67,64,74,33,58,62,42,63,43,62,71,82,47,67,70,79,73,75,75,67,33,48,58,57,71
Mauro Manotas,69,70,29,27,31,73,69,75,27,60,66,51,70,54,72,74,61,72,72,70,71,65,75,74,62,43,39,70,62,71
Fernando Karanga,65,64,36,21,19,74,64,74,17,53,61,29,64,54,72,70,80,34,56,61,80,82,75,74,59,61,45,68,67,71
Enzo Crivelli,66,67,34,23,34,87,74,73,25,63,68,53,70,59,55,72,87,45,69,61,78,78,78,68,64,59,49,62,69,71
Simeon Tochukwu Nwankwo,60,59,20,22,28,74,75,78,22,46,71,28,57,39,53,63,83,36,63,69,32,80,73,75,66,45,36,73,75,71
Guido Carrillo,72,71,43,26,29,72,71,78,34,59,70,34,64,57,34,62,76,53,55,64,77,80,76,72,72,46,53,75,77,71
Joo Min Kyu,72,61,33,39,58,62,65,73,54,60,69,33,64,54,67,82,87,72,62,70,78,71,74,78,66,54,48,71,71,71
Lucas Cavallini,68,68,45,13,32,86,67,71,23,56,68,31,60,41,73,73,92,50,71,56,80,74,77,70,65,44,61,68,69,71
Davie Selke,65,69,42,20,39,84,71,72,29,57,64,40,64,44,69,66,77,63,76,65,71,77,75,70,65,65,29,68,74,71
Fernando Aristeguieta,69,68,35,40,43,74,65,76,32,46,58,50,65,49,58,69,85,40,60,68,82,75,74,75,70,63,49,67,69,71
Cassiano,70,62,16,25,26,66,67,70,18,47,70,52,63,46,65,50,85,67,66,63,65,80,73,74,62,58,39,72,70,71
Leke James,73,69,24,32,26,44,67,70,21,52,73,60,61,39,66,72,86,69,72,75,84,72,74,73,63,52,44,67,65,71
Mikael Ishak,67,64,24,46,43,66,65,74,30,58,59,57,64,43,69,74,84,67,74,62,81,71,74,74,65,38,47,70,70,71
Franck Boli,69,71,31,17,19,53,67,72,14,51,67,36,54,43,74,52,76,77,71,70,87,68,72,80,59,49,37,67,52,71
Michael Krmenčík,70,66,17,20,25,78,65,74,23,62,63,55,65,44,60,55,87,47,74,66,58,77,72,73,63,56,53,71,67,71
Leite Pereira Touzghar,72,70,18,21,20,55,64,72,18,66,72,51,67,57,67,66,73,74,69,80,82,73,71,76,67,51,55,70,71,71
John Verhoek,67,66,14,17,21,77,70,71,26,66,67,53,63,48,60,79,87,67,64,60,81,78,73,74,62,57,61,71,62,71
Christian Gytkjær,72,65,42,19,16,67,73,73,32,61,75,51,59,43,70,63,78,68,74,70,78,71,74,70,64,61,55,76,65,71
Ilja Nestorovski,70,70,41,26,27,69,70,78,27,42,68,39,66,45,71,70,75,74,65,63,72,70,68,75,69,65,62,72,66,71
Javier Toledo,68,64,42,31,50,71,70,78,23,69,81,58,66,59,51,52,89,33,47,47,78,80,76,73,74,62,70,72,64,71
Stanislav Tecl,71,68,43,30,27,75,67,78,39,69,68,58,67,57,73,73,75,81,82,68,74,73,65,68,61,56,51,66,69,71
Franco Jara,70,72,19,29,29,65,67,73,28,64,67,64,70,59,72,68,76,61,74,75,69,64,76,72,69,70,50,72,70,71
Pascal Testroet,67,61,32,33,40,70,69,76,35,58,62,57,63,41,63,73,84,74,61,60,76,68,78,76,65,77,39,72,68,71
Khouma Babacar,72,68,35,24,26,65,65,72,20,48,69,50,64,46,62,52,83,56,65,67,75,71,78,71,62,62,60,77,74,71
Fabian Klos,67,59,45,24,32,78,75,74,29,70,78,46,67,60,51,64,91,43,62,41,71,78,78,72,65,56,45,80,72,71
Sebastian Polter,64,60,15,13,30,82,72,74,30,53,69,51,57,50,62,74,92,48,76,55,76,75,73,73,60,44,41,66,67,71
Rösler Szalai,70,63,39,15,44,82,74,76,44,64,78,49,67,48,34,53,91,54,33,34,43,81,80,73,61,58,42,71,70,71
Andy Carroll,72,62,36,50,47,86,67,69,45,66,72,60,63,63,29,48,93,31,40,39,84,89,85,72,69,63,42,73,80,71
Loïc Rémy,70,69,35,21,24,57,70,77,48,70,77,60,68,60,66,54,73,63,63,67,82,72,77,70,70,66,51,76,70,71
Rouwen Hennings,68,63,38,34,35,71,72,72,36,58,69,60,63,57,60,72,76,67,64,58,72,70,81,76,73,68,68,79,71,71
Shane Long,70,73,31,24,27,80,72,75,42,63,67,72,62,49,83,51,62,72,78,69,92,75,73,68,64,54,37,72,67,71
Santiago Silva,69,64,37,34,39,77,75,79,42,68,76,52,64,59,34,52,91,51,34,52,89,78,81,71,69,60,60,74,69,71
Roque Santa Cruz,75,63,35,31,25,66,77,80,35,63,76,58,69,42,31,30,77,28,35,30,32,81,76,76,60,73,52,75,77,71
Gonzalo Sosa,65,62,17,12,11,35,66,77,19,52,66,34,54,33,59,72,84,54,61,66,75,78,74,75,62,33,33,78,65,70
Martín Prost,68,62,22,30,32,40,65,71,23,44,60,55,65,58,65,68,75,74,68,66,71,75,68,79,65,55,59,79,59,70
